concession,sample_id,sample_type,lat,lon,utm_zone,utm_easting,utm_northing,grade_g_t,page,source_pdf
amenam,AMPIT057,test_pit,6.418195,-1.00877,30N,720238.0,709861.0,1.2,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT058,test_pit,6.415998,-1.008743,30N,720242.0,709618.0,1.4,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT059,test_pit,6.417836,-1.0071,30N,720423.0,709822.0,0.1,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT060,test_pit,6.415016,-1.007373,30N,720394.0,709510.0,1.11,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT061,test_pit,6.415342,-1.005338,30N,720619.0,709547.0,0.4,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT062,test_pit,6.413588,-1.007478,30N,720383.0,709352.0,1.15,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT063,test_pit,6.413101,-1.0056,30N,720591.0,709299.0,4.11,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT064,test_pit,6.412638,-1.007418,30N,720390.0,709247.0,0.7,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT065,test_pit,6.415803,-0.970578,30N,724465.0,709613.0,0.0,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT066,test_pit,6.416228,-0.968335,30N,724713.0,709661.0,0.1,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT067,test_pit,6.414298,-0.969626,30N,724571.0,709447.0,0.5,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT068,test_pit,6.415253,-0.966405,30N,724927.0,709554.0,0.0,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT069,test_pit,6.413134,-0.967796,30N,724774.0,709319.0,0.0,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT070,test_pit,6.414034,-0.964476,30N,725141.0,709420.0,0.0,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT071,test_pit,6.411183,-0.966105,30N,724962.0,709104.0,0.0,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT072,test_pit,6.412299,-0.962413,30N,725370.0,709229.0,0.0,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT073,test_pit,6.409804,-0.964773,30N,725110.0,708952.0,0.0,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT074,test_pit,6.410498,-0.959845,30N,725655.0,709031.0,0.5,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT075,test_pit,6.408832,-0.963548,30N,725246.0,708845.0,0.0,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT076,test_pit,6.408652,-0.959436,30N,725701.0,708827.0,0.06,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT077,test_pit,6.416047,-0.954698,30N,726222.0,709647.0,0.2,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT078,test_pit,6.416508,-0.952401,30N,726476.0,709699.0,0.46,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT079,test_pit,6.41495,-0.953844,30N,726317.0,709526.0,1.2,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT080,test_pit,6.415692,-0.951925,30N,726529.0,709609.0,0.4,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT081,test_pit,6.413916,-0.953116,30N,726398.0,709412.0,1.9,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT082,test_pit,6.41529,-0.950897,30N,726643.0,709565.0,0.5,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT083,test_pit,6.413215,-0.951881,30N,726535.0,709335.0,0.9,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT084,test_pit,6.414852,-0.949877,30N,726756.0,709517.0,1.34,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT085,test_pit,6.412746,-0.949985,30N,726745.0,709284.0,0.6,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT086,test_pit,6.413513,-0.947316,30N,727040.0,709370.0,0.0,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT087,test_pit,6.415344,-0.948402,30N,726919.0,709572.0,0.85,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT088,test_pit,6.412617,-0.947058,30N,727069.0,709271.0,0.56,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT089,test_pit,6.415092,-0.946451,30N,727135.0,709545.0,0.0,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT090,test_pit,6.416028,-0.947658,30N,727001.0,709648.0,0.85,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT091,test_pit,6.415684,-0.945391,30N,727252.0,709611.0,3.1,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT092,test_pit,6.41642,-0.946301,30N,727151.0,709692.0,0.73,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT093,test_pit,6.415232,-0.942998,30N,727517.0,709562.0,1.5,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT094,test_pit,6.416338,-0.941711,30N,727659.0,709685.0,1.17,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT095,test_pit,6.414377,-0.941908,30N,727638.0,709468.0,1.4,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
oworam,OWPT001,test_pit,5.932508,-0.575751,30N,768402.0,656331.0,0.81,104-107,FEASIBILITY STUDY REPORT_ OWORAM GOLD PROJECT _IGNITE MACHINERY_080126.pdf
oworam,OWPT002,test_pit,5.931422,-0.575377,30N,768444.0,656211.0,0.74,104-107,FEASIBILITY STUDY REPORT_ OWORAM GOLD PROJECT _IGNITE MACHINERY_080126.pdf
oworam,OWPT003,test_pit,5.931016,-0.575685,30N,768410.0,656166.0,0.53,104-107,FEASIBILITY STUDY REPORT_ OWORAM GOLD PROJECT _IGNITE MACHINERY_080126.pdf
oworam,OWPT004,test_pit,5.931909,-0.575167,30N,768467.0,656265.0,0.7,104-107,FEASIBILITY STUDY REPORT_ OWORAM GOLD PROJECT _IGNITE MACHINERY_080126.pdf
oworam,OWPT005,test_pit,5.932028,-0.575536,30N,768426.0,656278.0,0.47,104-107,FEASIBILITY STUDY REPORT_ OWORAM GOLD PROJECT _IGNITE MACHINERY_080126.pdf
oworam,OWPT006,test_pit,5.931622,-0.575665,30N,768412.0,656233.0,0.58,104-107,FEASIBILITY STUDY REPORT_ OWORAM GOLD PROJECT _IGNITE MACHINERY_080126.pdf
oworam,OWPT007,test_pit,5.931163,-0.576064,30N,768368.0,656182.0,0.85,104-107,FEASIBILITY STUDY REPORT_ OWORAM GOLD PROJECT _IGNITE MACHINERY_080126.pdf
oworam,OWPT008,test_pit,5.932391,-0.575968,30N,768378.0,656318.0,0.62,104-107,FEASIBILITY STUDY REPORT_ OWORAM GOLD PROJECT _IGNITE MACHINERY_080126.pdf
oworam,OWPT009,test_pit,5.933827,-0.575655,30N,768412.0,656477.0,0.76,104-107,FEASIBILITY STUDY REPORT_ OWORAM GOLD PROJECT _IGNITE MACHINERY_080126.pdf
