concession,sample_id,sample_type,grade_g_t,depth_m,page,source_pdf,notes
amenam,AMPIT011,test_pit,1.13,7.4,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf,g/m3; UTM30N
amenam,AMPIT012,test_pit,0.2,6.8,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf,g/m3; UTM30N
amenam,AMPIT013,test_pit,1.37,1.5,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf,g/m3; UTM30N
amenam,AMPIT014,test_pit,0.2,3.5,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf,g/m3; UTM30N
amenam,AMPIT015,test_pit,0.79,6.1,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf,g/m3; UTM30N
amenam,AMPIT016,test_pit,0.44,7.7,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf,g/m3; UTM30N
amenam,AMPIT017,test_pit,1.3,1.6,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf,g/m3; UTM30N
amenam,AMPIT018,test_pit,1.6,6.0,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf,g/m3; UTM30N
amenam,AMPIT019,test_pit,0.71,2.3,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf,g/m3; UTM30N
amenam,AMPIT020,test_pit,0.91,6.2,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf,g/m3; UTM30N
amenam,AMPIT021,test_pit,1.6,0.22,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf,g/m3; UTM30N
amenam,AMPIT022,test_pit,0.71,8.4,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf,g/m3; UTM30N
amenam,AMPIT023,test_pit,0.15,7.2,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf,g/m3; UTM30N
